grid_code,min_lon,max_lon,min_lat,max_lat,intersects_manhattan,has_sensor,sensor_list
2@23,-74.02353000000001,-74.01353,40.8829165,40.8929165,False,False,[]
2@24,-74.02353000000001,-74.01353,40.892916500000005,40.9029165,False,False,[]
3@0,-74.01353,-74.00353,40.6529165,40.6629165,False,False,[]
3@1,-74.01353,-74.00353,40.6629165,40.6729165,False,True,[165783]
3@2,-74.01353,-74.00353,40.67291650000001,40.682916500000005,False,True,"[145962, 152862, 182235]"
3@3,-74.01353,-74.00353,40.682916500000005,40.6929165,True,False,[]
3@4,-74.01353,-74.00353,40.6929165,40.7029165,True,False,[]
3@5,-74.01353,-74.00353,40.7029165,40.7129165,True,False,[]
3@6,-74.01353,-74.00353,40.712916500000006,40.722916500000004,True,True,[178471]
3@7,-74.01353,-74.00353,40.722916500000004,40.7329165,True,False,[]
3@8,-74.01353,-74.00353,40.7329165,40.7429165,True,False,[]
3@9,-74.01353,-74.00353,40.74291650000001,40.752916500000005,True,False,[]
3@10,-74.01353,-74.00353,40.752916500000005,40.7629165,True,False,[]
3@11,-74.01353,-74.00353,40.7629165,40.7729165,True,False,[]
3@12,-74.01353,-74.00353,40.7729165,40.7829165,False,False,[]
3@13,-74.01353,-74.00353,40.782916500000006,40.792916500000004,False,False,[]
3@14,-74.01353,-74.00353,40.792916500000004,40.8029165,False,False,[]
3@15,-74.01353,-74.00353,40.8029165,40.8129165,False,False,[]
3@16,-74.01353,-74.00353,40.8129165,40.8229165,False,False,[]
3@17,-74.01353,-74.00353,40.822916500000005,40.8329165,False,False,[]
3@18,-74.01353,-74.00353,40.8329165,40.8429165,False,False,[]
3@19,-74.01353,-74.00353,40.8429165,40.8529165,False,False,[]
3@20,-74.01353,-74.00353,40.852916500000006,40.862916500000004,False,False,[]
3@21,-74.01353,-74.00353,40.862916500000004,40.8729165,False,False,[]
3@22,-74.01353,-74.00353,40.8729165,40.8829165,False,False,[]
3@23,-74.01353,-74.00353,40.8829165,40.8929165,False,False,[]
3@24,-74.01353,-74.00353,40.892916500000005,40.9029165,False,False,[]
4@0,-74.00353,-73.99352999999999,40.6529165,40.6629165,False,False,[]
4@1,-74.00353,-73.99352999999999,40.6629165,40.6729165,False,False,[]
4@2,-74.00353,-73.99352999999999,40.67291650000001,40.682916500000005,False,False,[]
4@3,-74.00353,-73.99352999999999,40.682916500000005,40.6929165,True,True,"[175901, 182073, 185729]"
4@4,-74.00353,-73.99352999999999,40.6929165,40.7029165,True,True,[81785]
4@5,-74.00353,-73.99352999999999,40.7029165,40.7129165,True,False,[]
4@6,-74.00353,-73.99352999999999,40.712916500000006,40.722916500000004,True,True,"[174545, 175215, 169657, 204699]"
4@7,-74.00353,-73.99352999999999,40.722916500000004,40.7329165,True,True,[189249]
4@8,-74.00353,-73.99352999999999,40.7329165,40.7429165,True,False,[]
4@9,-74.00353,-73.99352999999999,40.74291650000001,40.752916500000005,True,False,[]
4@10,-74.00353,-73.99352999999999,40.752916500000005,40.7629165,True,False,[]
4@11,-74.00353,-73.99352999999999,40.7629165,40.7729165,True,False,[]
4@12,-74.00353,-73.99352999999999,40.7729165,40.7829165,True,False,[]
4@13,-74.00353,-73.99352999999999,40.782916500000006,40.792916500000004,False,False,[]
4@14,-74.00353,-73.99352999999999,40.792916500000004,40.8029165,False,False,[]
4@15,-74.00353,-73.99352999999999,40.8029165,40.8129165,False,False,[]
4@16,-74.00353,-73.99352999999999,40.8129165,40.8229165,False,False,[]
4@17,-74.00353,-73.99352999999999,40.822916500000005,40.8329165,False,False,[]
4@18,-74.00353,-73.99352999999999,40.8329165,40.8429165,False,False,[]
4@19,-74.00353,-73.99352999999999,40.8429165,40.8529165,False,False,[]
4@20,-74.00353,-73.99352999999999,40.852916500000006,40.862916500000004,False,False,[]
4@21,-74.00353,-73.99352999999999,40.862916500000004,40.8729165,False,False,[]
4@22,-74.00353,-73.99352999999999,40.8729165,40.8829165,False,False,[]
4@23,-74.00353,-73.99352999999999,40.8829165,40.8929165,False,False,[]
4@24,-74.00353,-73.99352999999999,40.892916500000005,40.9029165,False,False,[]
5@0,-73.99353,-73.98353,40.6529165,40.6629165,False,False,[]
5@1,-73.99353,-73.98353,40.6629165,40.6729165,False,False,[]
5@2,-73.99353,-73.98353,40.67291650000001,40.682916500000005,False,False,[]
5@3,-73.99353,-73.98353,40.682916500000005,40.6929165,False,False,[]
